,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intersection between Visits and Recomendation,,,,
id_user,visitou 1,categoria 1,root 1,visitou 2,categoria 2,root 2,visitou 3,categoria 3,root 3,visitou 4,categoria 4,root 4,visitou 5,categoria 5,root 5,Recomenda��o 1,categoria r 1,root r 1,Recomenda��o 2,categoria r 2,root r 2,Recomenda��o 3,categoria r 3,root r 3,Recomenda��o 4,categoria r 4,root r 4,Recomenda��o 5,categoria r 5,root r 5,,,,POI level,Category Level,Root Category Level,,Validation
473529,Continente Bom Dia,Supermarket,retail,Pingo Doce,Supermarket,retail,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Continente,Supermarket,retail,,,,McDonald's,Fast Food Restaurant,dining and drinking,Atlantic,Restaurant,dining and drinking,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,Conrad Algarve,Hotel,travel and transportation,,,,0.25,0.75,1,,
1750056,Pingo Doce,Supermarket,retail,Quinta dos Gafanhotos,Portuguese Restaurant,dining and drinking,Continente Bom Dia,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Esta??o Ferrovi?ria de S?o Pedro do Estoril,Train Station,travel and transportation,Sushi Toro,Sushi Restaurant,dining and drinking,Belmond Reid's Palace,Hotel,travel and transportation,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,,,,0.2,0.2,0.6,,
2028795,Continente Modelo,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,LoureShopping,Shopping Mall,retail,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,"Zoomarine Algarve,  Portugal",Theme Park,landmarks and outdoors,Conrad Algarve,Hotel,travel and transportation,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,Sol Póvoa Hotel,Hotel,travel and transportation,Tasquinha da Quinta,Mediterranean Restaurant,dining and drinking,,,,0,0.2,0.6,,
326248,Liberty American Store,Grocery Store,retail,Cinemas NOS Alvaláxia,Movie Theater,arts and entertainment,Estádio do Sport Lisboa e Benfica,Soccer Stadium,sports and recreation,Starbucks,Coffee Shop,dining and drinking,O'Gilins Irish Pub,Pub,dining and drinking,Adidas Originals Store Lisbon,Sporting Goods Shop,retail,Restaurante IKEA,Scandinavian Restaurant,dining and drinking,Pingo Doce,Supermarket,retail,Construction,Gay Bar,dining and drinking,Café Atenas,Portuguese Restaurant,dining and drinking,,,,0,0,0.6,,
2132424,Forum Sintra,Shopping Mall,retail,Gelados & Companhia,Ice Cream Shop,dining and drinking,Lidl,Supermarket,retail,Pingo Doce,Supermarket,retail,McDonald's,Fast Food Restaurant,dining and drinking,Café Atenas,Portuguese Restaurant,dining and drinking,Nah Nah Bah,Burger Joint,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Triparte Estúdio,Tattoo Parlor,business and professional services,BP,Gas Station,business and professional services,,,,0.2,0.2,0.4,,
2394009,Fresh Coffee Bar,Beer Garden,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Área de Serviço do Seixal,Rest Area,travel and transportation,Aeroporto Jo?o Paulo II (PDL),Airport,travel and transportation,Alf?ndega do Porto,Event Space,business and professional services,Terrace Oeiras,Cocktail Bar,dining and drinking,Pingo Doce,Supermarket,retail,Pingo Doce,Supermarket,retail,Casa da Música,Concert Hall,arts and entertainment,Liberty American Store,Grocery Store,retail,,,,0,0,0.4,,
572940,Cinemas NOS Forum Coimbra,Movie Theater,arts and entertainment,Cinemas NOS Alma Shopping,Movie Theater,arts and entertainment,Paço dos Duques de Bragança,Monument / Landmark,landmarks and outdoors,Continente Fórum Coimbra,Supermarket,retail,Aeroporto Francisco S? Carneiro (OPO) (Aeroporto Francisco S? Carneiro),Airport,travel and transportation,Museu de Évora,Museum,arts and entertainment,Praça da Canção,Plaza,landmarks and outdoors,Herdade dos Salgados Resort,Resort,travel and transportation,SushiCafé Avenida,Sushi Restaurant,dining and drinking,Club Noir,Bar,dining and drinking,,,,0,0,0.8,,
1798566,Worten,Electronics Store,retail,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,McDonald's,Fast Food Restaurant,dining and drinking,Conrad Algarve,Hotel,travel and transportation,Continente Portimão 2,Supermarket,retail,Carvi Beach Hotel Algarve,Hotel,travel and transportation,Hotel Tivoli Sintra,Hotel,travel and transportation,Hotel Solar Dos Mascarenhas,Hotel,travel and transportation,,,,0,0,0.2,,
